'created_at';'favorite_count';'id';'in_reply_to_status_id';'in_reply_to_user_id';'place_full_name';'retweet_count';'retweeted';'retweeted_id';'text';'truncated';'user_id'
'Sun Feb 01 17:19:39 +0000 2015';0;561936932247453696;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';189571978
'Sun Feb 01 17:19:39 +0000 2015';0;561936933430239233;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';887448446
'Sun Feb 01 17:19:39 +0000 2015';0;561936933719642112;'';'';'';0;'false';'';'RT @PsicologiaEsp: “Solo poseemos aquello que no podemos perder en un naufragio”';'false';879916578
'Sun Feb 01 17:19:40 +0000 2015';0;561936934801801218;'';'';'';0;'false';'';'RT @SaraLosMios: " @JavierNart "Me preocupa el tipo de país al que nos quiere llevar Podemos" #L6Nmonedero" A mí m preocupa el tipo d país …';'false';2564959137
'Sun Feb 01 17:19:41 +0000 2015';0;561936940161716225;'';'';'';0;'false';'';'RT @bassileo: Vosotros españoles, seis muy raros...El PP gana las elecciones con X100M€ en negros en Suiza y el PSOE no dice mu pero los ma…';'false';267983548
'Sun Feb 01 17:19:41 +0000 2015';0;561936941382631425;'';'';'';0;'false';'';'RT @manunicas: Hay quien se pregunta por la diferencia IU-Podemos. No existe, ambos son Comunistas. Unos presumen de ello y los otros nos t…';'false';1530480258
'Sun Feb 01 17:19:41 +0000 2015';0;561936941592363009;'';'';'';0;'false';'';'La verdad acerca de Pablo Iglesias y su partido político Podemos http://t.co/PtoGJT5fm5';'false';226968763
'Sun Feb 01 17:19:42 +0000 2015';0;561936943039393793;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';2906614359
'Sun Feb 01 17:19:42 +0000 2015';0;561936944293507072;'';'';'';0;'false';'';'RT @ESDragonBall: Se ha revelado un poster de la nueva película los Guerreros Z, y en ella podemos ver a su villano principal: Freezer http…';'false';1159160990
'Sun Feb 01 17:19:42 +0000 2015';0;561936945115561984;'';'';'';0;'false';'';'Entra y firma por favor, no podemos permitir esta injusticia! #TodosConSergio #YOSOYSERGIO http://t.co/QkJ33Pozeb';'false';299612847
