'tweet_id';'url'
561938109336936448;'http://t.co/sR7FtbGYs3'
561938117163507713;'http://t.co/SCrCaXxWfi'
561938124323192833;'https://t.co/ZOafsOZvxs'
561938141196865537;'http://t.co/9KxNAnhiYG'
561938142341910529;'https://t.co/bGOlVSFm4V'
561938155683983360;'http://t.co/O8ya1esYb9'
561938155537203200;'http://t.co/yfuq6iAcJI'
561938159739871232;'http://t.co/riA5pJhNj1'
561938172524118016;'http://t.co/asUeO3m282'
561938176554860544;'http://t.co/8ZeC15GT9U'
561938184443944960;'http://t.co/SIgxU3JIr0'
561938189813035008;'http://t.co/RAZBOhlA7k'
561938192145055745;'http://t.co/8CwbFc4pET'
561938197106540544;'http://t.co/rbcyDntKD2'
561938198193270784;'http://t.co/iv6Vx5W1aQ'
561938201775190016;'http://t.co/2l8RuU50e7'
561938203402588160;'http://t.co/LdQTG35LZR'
561938213275987969;'http://t.co/b7lTii32Lv'
561938215566053378;'http://t.co/1AmkO14EJH'
561938235170234371;'http://t.co/W3mchUNi3m'
561938243823108096;'http://t.co/ZUt1zoEypt'
561938247082057729;'https://t.co/BUaqUyj74S'
561938271690047488;'http://t.co/oj9WzNdldA'
561938277545312256;'https://t.co/65Xep6A0bk'
561938290103033856;'https://t.co/uQBO0TztNp'
561938303906504704;'http://t.co/asUeO3m282'
561938314853613568;'http://t.co/fpuNcGlC8s'
561938317659607040;'http://t.co/U8nPWFEZqL'
561938320625000449;'http://t.co/xLETmOFIq9'
561938324328165376;'http://t.co/HwM5oNr89C'
561938343664304128;'http://t.co/ocDGDxpCk8'
561938356670857218;'http://t.co/9ARMz1dVKw'
561938361980821504;'http://t.co/EaN4GfmRtu'
561938366439366656;'http://t.co/6j0R8EMIKu'
561938375801065473;'https://t.co/E4wK1NiHHS'
561938392888664065;'http://t.co/PCtbaJfK0T'
561938395967291394;'http://t.co/iv6Vx5W1aQ'
561938398253174784;'http://t.co/9KxNAnhiYG'
561938400782323712;'http://t.co/fKesETUcg5'
561938407468044290;'http://t.co/LyvAkOblGs'
561938410513133570;'http://t.co/asUeO3m282'
561938437780295681;'http://t.co/LyvAkOblGs'
561938447016157184;'http://t.co/8Zp6HlAQ9Y'
561938447359684608;'http://t.co/gpqjkLAXzl'
561938448378888192;'http://t.co/irqHHWDRhs'
561938455903875072;'http://t.co/ptx2lC9xhF'
561938459275706369;'http://t.co/44TRyuEKzl'
561938461478117376;'http://t.co/jK6wLzgdSy'
561938461821657088;'http://t.co/B2WWzt8ZNz'
561938470214848513;'http://t.co/iv6Vx5W1aQ'
561938471179517952;'http://t.co/xLETmOFIq9'
561938474866343937;'http://t.co/ZQJhTPdDha'
561938476158164992;'http://t.co/LnqwcB99ZC'
561938483330433024;'http://t.co/eGEwxellBL'
561938483900850176;'http://t.co/nOrT38AHdg'
561938486878408704;'http://t.co/QD4egSH4iU'
561938489608925184;'http://t.co/gZabLrJziV'
561938493241585665;'http://t.co/n8fK4i6FhQ'
561938493820403713;'http://t.co/tfrA0aVn22'
561938494730559489;'http://t.co/KzJJ5RMbtG'
561938496625971201;'http://t.co/oDLYMPCuLs'
561938499360673792;'http://t.co/A6igEBfkMv'
561938505824104448;'http://t.co/ZRghGODo3l'
561938506000658433;'http://t.co/61BA1v3odt'
561938507816763392;'http://t.co/ocDGDxpCk8'
561938511339597825;'http://t.co/1kCj0QsxCk'
561938516595060736;'http://t.co/ThfwLClBSB'
561938517916651520;'http://t.co/fnOaSVGmYU'
561938518445129728;'http://t.co/KU8KqVMslR'
561938520974327809;'http://t.co/jSM4A71Q3A'
561938522026684416;'http://t.co/hBvXSct4k6'
561938527353458688;'http://t.co/UmnM8iZmUg'
561938533074493440;'http://t.co/ujKFQhHVqY'
561938537948266496;'http://t.co/LkkW4fMJZ7'
561938543035969538;'http://t.co/UvN0RyP2v8'
561938543451582464;'http://t.co/0sZApv7CNC'
561938551873736707;'http://t.co/nOrT38AHdg'
561938555069820930;'http://t.co/uQw008Xixe'
561938557669867520;'http://t.co/35m5vw94Sb'
561938562284027904;'https://t.co/oc8qjoptWJ'
561938580709580801;'http://t.co/CM6NVbf36q'
561938585952485377;'http://t.co/tfrA0aVn22'
561938601165209600;'http://t.co/Y55tH9GH9s'
561938606999494658;'https://t.co/nQkOKUYhTi'
561938614255632386;'http://t.co/iv6Vx5W1aQ'
561938615073529857;'http://t.co/LhfKqVGtjX'
561938626960187392;'http://t.co/6ZPESuAuCc'
561938632807034882;'http://t.co/ocDGDxpCk8'
561938639228530688;'http://t.co/gC02mFNNiW'
561938641426321410;'http://t.co/DJOxUr7z8i'
561938646023282690;'http://t.co/GVouEIgJIz'
561938649999503361;'http://t.co/ON0ZH5JzXa'
561938656869744640;'http://t.co/CaSfqtwbde'
561938667221286913;'http://t.co/W3mchUNi3m'
561938678486810624;'http://t.co/qphEMLjVv9'
561938680605319168;'http://t.co/CEVFFVxSN1'
